Playoff,FG_G,FGA_G,Fgper,Three_P_G,Three_PA_G,Three_Pper,Two_P_G,Two_PA_G,Two_Pper,FT_G,FTA_G,Ftper,ORB_G,DRB_G,TRB_G,AST_G,STL_G,BLK_G,TOV_G,PF_G,Age,FTr,Three_PAr,Tsper,eFGper,TOVper,ORBper,FT_FGA,eFGperOp,TOVperOp,DRBperDef,FT_FGA_Op
1,36.04878049,78.18292683,0.461,9.390243902,25.64634146,0.366,26.65853659,52.53658537,0.507,17.7195122,25.62195122,0.692,10.53658537,32.67073171,43.20731707,19.95121951,6.682926829,4.682926829,14.92682927,20,27.6,0.328,0.328,0.554,0.521,14.3,26.1,0.227,0.475,13.3,76.9,0.219
0,36.32926829,80.95121951,0.449,6.256097561,17.56097561,0.356,30.07317073,63.3902439,0.474,15.93902439,22.80487805,0.699,12.08536585,30.03658537,42.12195122,21.24390244,7,4.87804878,15.13414634,19.79268293,25.3,0.282,0.217,0.521,0.487,14.3,28.3,0.197,0.505,13.1,73,0.209
1,36.48780488,81.92682927,0.445,8.695121951,23.37804878,0.372,27.79268293,58.54878049,0.475,19.6097561,25.06097561,0.782,11.40243902,31.12195122,42.52439024,21.18292683,7.036585366,4.182926829,14.13414634,22.95121951,25.6,0.306,0.285,0.545,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237
1,39.14634146,81.40243902,0.481,8.085365854,21.51219512,0.376,31.06097561,59.8902439,0.519,16.64634146,21.03658537,0.791,8.12195122,33.18292683,41.30487805,25.09756098,8.475609756,5.43902439,14.70731707,17.40243902,28.6,0.258,0.264,0.568,0.531,14,20.5,0.204,0.48,13.7,74.9,0.179
0,35.5,75.20731707,0.472,3.646341463,9.707317073,0.376,31.85365854,65.5,0.486,20.2804878,27.76829268,0.73,10.87804878,29.29268293,40.17073171,18.23170732,6.487804878,4.414634146,15.12195122,23.26829268,25.5,0.369,0.129,0.543,0.496,14.7,28.5,0.27,0.49,13,72.5,0.264
0,37.15853659,80.82926829,0.46,6.402439024,17.69512195,0.362,30.75609756,63.13414634,0.487,18.42682927,23.30487805,0.791,11.31707317,28.31707317,39.63414634,20.67073171,7.695121951,3.670731707,15.46341463,21.96341463,25.9,0.288,0.219,0.544,0.499,14.5,27.8,0.228,0.515,14.1,70.9,0.243
0,38.75609756,85.82926829,0.452,8.512195122,24.97560976,0.341,30.24390244,60.85365854,0.497,16.37804878,21.54878049,0.76,10.92682927,32.23170732,43.15853659,20.23170732,8.536585366,4.695121951,15.09756098,21.26829268,25.7,0.251,0.291,0.537,0.501,13.7,24.5,0.191,0.497,14,73.5,0.221
0,34.36363636,78.09090909,0.44,5.53030303,16.28787879,0.34,28.83333333,61.8030303,0.467,16.43939394,21.36363636,0.77,10.56060606,31.42424242,41.98484848,20.93939394,6.5,4.863636364,15.16666667,23.21212121,25.7,0.274,0.209,0.518,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26
1,39.6097561,83.14634146,0.476,8.073170732,21.35365854,0.378,31.53658537,61.79268293,0.51,21.29268293,27.68292683,0.769,10.95121951,33.19512195,44.14634146,24.42682927,7.975609756,5.341463415,14.09756098,20.62195122,26.7,0.333,0.257,0.57,0.525,12.9,26.3,0.256,0.485,12.9,73.4,0.214
1,36.62195122,81.68292683,0.448,7.109756098,20.81707317,0.342,29.51219512,60.86585366,0.485,16.36585366,22.53658537,0.726,12.2195122,32.42682927,44.64634146,21.42682927,7.292682927,5.12195122,13.7195122,19.62195122,28.3,0.276,0.255,0.528,0.492,13,29.1,0.2,0.465,12.8,74.8,0.214
