Playoff,G,MP,FG,FGA,FGA_G,Fgper,Three_P,Three_P_G,Three_PA,Three_PA_G,Three_Pper,Two_P,Two_P_G,Two_PA,Two_PA_G,Two_Pper,FT,FT_G,FTA,FTA_G,Ftper,ORB,ORB_G,DRB,DRB_G,TRB,TRB_G,AST,STL,STL_G,BLK,BLK_G,TOV,TOV_G,PF,PTS,PTS_G,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,Tsper,eFGper,TOVper,ORBper,FT_FGA,eFGperOp,TOVperOp,DRBperDef,FT_FGA_Op
1,82,19730,3121,6699,81.69512195,0.466,818,9.975609756,2152,26.24390244,0.38,2303,28.08536585,4547,55.45121951,0.506,1349,16.45121951,1735,21.15853659,0.778,715,8.719512195,2611,31.84146341,3326,40.56097561,2111,744,9.073170732,380,4.634146341,1166,14.2195122,1457,8409,102.5,27.8,56,26,5.43,-0.68,4.75,108.9,103.1,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185
1,82,19880,3193,7211,87.93902439,0.443,660,8.048780488,2021,24.64634146,0.327,2533,30.8902439,5190,63.29268293,0.488,1266,15.43902439,1678,20.46341463,0.754,911,11.1097561,2685,32.74390244,3596,43.85365854,2009,674,8.219512195,294,3.585365854,1133,13.81707317,1738,8312,101.4,25,41,41,0.16,-0.56,-0.4,104.7,104.5,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,0.494,13.7,75,0.208
1,82,19930,3069,6804,82.97560976,0.451,541,6.597560976,1633,19.91463415,0.331,2528,30.82926829,5171,63.06097561,0.489,1359,16.57317073,1817,22.15853659,0.748,846,10.31707317,2627,32.03658537,3473,42.35365854,1716,576,7.024390244,340,4.146341463,1133,13.81707317,1579,8038,98,28.6,33,49,-2.88,-0.25,-3.13,104.4,107.4,92.7,0.267,0.24,0.529,0.491,13,23.9,0.2,0.506,12.9,73.7,0.185
0,82,19905,2913,6932,84.53658537,0.42,498,6.073170732,1566,19.09756098,0.318,2415,29.45121951,5366,65.43902439,0.45,1397,17.03658537,1867,22.76829268,0.748,820,10,2793,34.06097561,3613,44.06097561,1654,499,6.085365854,448,5.463414634,976,11.90243902,1494,7721,94.2,26,32,50,-3.17,-0.27,-3.44,100.2,103.5,93,0.269,0.226,0.498,0.456,11.2,22.1,0.202,0.487,12,79.3,0.188
1,82,19880,3001,6797,82.8902439,0.442,645,7.865853659,1825,22.25609756,0.353,2356,28.73170732,4972,60.63414634,0.474,1618,19.73170732,2067,25.20731707,0.783,959,11.69512195,2792,34.04878049,3751,45.74390244,1781,514,6.268292683,476,5.804878049,1145,13.96341463,1495,8265,100.8,28.8,50,32,3,-0.46,2.54,107.5,104.3,92.8,0.304,0.269,0.536,0.489,12.9,27,0.238,0.473,11.3,74.4,0.182
1,82,19780,3089,6739,82.18292683,0.458,826,10.07317073,2253,27.47560976,0.367,2263,27.59756098,4486,54.70731707,0.504,1453,17.7195122,1934,23.58536585,0.751,911,11.1097561,2612,31.85365854,3523,42.96341463,1814,603,7.353658537,340,4.146341463,1171,14.2804878,1510,8457,103.1,26.9,53,29,4.48,-0.4,4.08,111.1,106.3,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177
1,82,19880,3255,7036,85.80487805,0.463,732,8.926829268,2082,25.3902439,0.352,2523,30.76829268,4954,60.41463415,0.509,1386,16.90243902,1843,22.47560976,0.752,858,10.46341463,2608,31.80487805,3466,42.26829268,1846,663,8.085365854,371,4.524390244,1062,12.95121951,1644,8628,105.2,29.9,49,33,2.9,0.46,3.36,109.5,106.4,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204
0,82,19880,3099,7158,87.29268293,0.433,660,8.048780488,2032,24.7804878,0.325,2439,29.74390244,5126,62.51219512,0.476,1462,17.82926829,1991,24.2804878,0.734,1012,12.34146341,2653,32.35365854,3665,44.69512195,1788,641,7.817073171,367,4.475609756,1166,14.2195122,1882,8320,101.5,26.4,31,51,-3.55,0.48,-3.07,104.5,108.2,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13,74.7,0.239
0,82,19830,3041,7038,85.82926829,0.432,703,8.573170732,2043,24.91463415,0.344,2338,28.51219512,4995,60.91463415,0.468,1292,15.75609756,1838,22.41463415,0.703,1051,12.81707317,2630,32.07317073,3681,44.8902439,1771,623,7.597560976,383,4.670731707,1099,13.40243902,1559,8077,98.5,25.9,38,44,-1,-0.39,-1.39,105.3,106.4,92.8,0.261,0.29,0.515,0.482,12.3,27.7,0.184,0.502,13.1,75,0.192
1,82,19730,3410,7137,87.03658537,0.478,883,10.76829268,2217,27.03658537,0.398,2527,30.81707317,4920,60,0.514,1313,16.01219512,1709,20.84146341,0.768,853,10.40243902,2814,34.31707317,3667,44.7195122,2248,762,9.292682927,496,6.048780488,1185,14.45121951,1628,9016,110,26.6,65,17,10.1,-0.09,10.01,111.6,101.4,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217
1,82,19805,3032,6832,83.31707317,0.444,933,11.37804878,2680,32.68292683,0.348,2099,25.59756098,4152,50.63414634,0.506,1525,18.59756098,2133,26.01219512,0.715,958,11.68292683,2624,32,3582,43.68292683,1820,777,9.475609756,407,4.963414634,1366,16.65853659,1803,8522,103.9,27.6,50,32,3.44,0.38,3.82,107,103.4,96.5,0.312,0.392,0.548,0.512,15,26.8,0.223,0.486,14.6,72.9,0.208
0,82,19855,2998,6824,83.2195122,0.439,612,7.463414634,1740,21.2195122,0.352,2386,29.09756098,5084,62,0.469,1373,16.74390244,1817,22.15853659,0.756,856,10.43902439,2822,34.41463415,3678,44.85365854,1757,505,6.158536585,375,4.573170732,1147,13.98780488,1742,7981,97.3,28.3,42,40,0.28,-0.51,-0.23,103.5,103.2,93.2,0.266,0.255,0.523,0.484,13.1,24,0.201,0.478,12,77.9,0.217
1,82,19730,3228,6830,83.29268293,0.473,827,10.08536585,2202,26.85365854,0.376,2401,29.2804878,4628,56.43902439,0.519,1468,17.90243902,2067,25.20731707,0.71,784,9.56097561,2711,33.06097561,3495,42.62195122,2031,641,7.817073171,409,4.987804878,1012,12.34146341,1749,8751,106.7,28.8,58,24,6.59,0.22,6.8,112.4,105.5,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231
0,82,19930,3054,7020,85.6097561,0.435,532,6.487804878,1546,18.85365854,0.344,2522,30.75609756,5474,66.75609756,0.461,1433,17.47560976,1935,23.59756098,0.741,952,11.6097561,2647,32.2804878,3599,43.8902439,1715,578,7.048780488,366,4.463414634,1086,13.24390244,1741,8073,98.5,27,23,59,-6.84,0.67,-6.17,103.4,110.6,94,0.276,0.22,0.513,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231
1,82,19905,3097,6763,82.47560976,0.458,423,5.158536585,1246,15.19512195,0.339,2674,32.6097561,5517,67.2804878,0.485,1445,17.62195122,1869,22.79268293,0.773,856,10.43902439,2634,32.12195122,3490,42.56097561,1777,700,8.536585366,347,4.231707317,1094,13.34146341,1567,8062,98.3,29.6,50,32,3.24,0.38,3.62,105.7,102.2,92,0.276,0.184,0.531,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183
0,82,19730,2885,6330,77.19512195,0.456,556,6.780487805,1659,20.23170732,0.335,2329,28.40243902,4671,56.96341463,0.499,1438,17.53658537,1940,23.65853659,0.741,747,9.109756098,2461,30.01219512,3208,39.12195122,1626,642,7.829268293,372,4.536585366,1214,14.80487805,1636,7764,94.7,28.5,33,49,-2.6,-0.32,-2.92,103.9,106.7,90.9,0.306,0.262,0.54,0.5,14.5,23.2,0.227,0.505,14.2,73.4,0.213
1,82,19930,3083,6722,81.97560976,0.459,545,6.646341463,1500,18.29268293,0.363,2538,30.95121951,5222,63.68292683,0.486,1312,16,1734,21.14634146,0.757,876,10.68292683,2574,31.3902439,3450,42.07317073,1932,789,9.62195122,403,4.914634146,1373,16.74390244,1814,8023,97.8,24.6,42,40,0.43,-0.52,-0.09,102.7,102.2,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221
0,82,19805,2986,6820,83.17073171,0.438,406,4.951219512,1223,14.91463415,0.332,2580,31.46341463,5597,68.25609756,0.461,1638,19.97560976,2110,25.73170732,0.776,949,11.57317073,2406,29.34146341,3355,40.91463415,1771,668,8.146341463,327,3.987804878,1231,15.01219512,1571,8016,97.8,24.4,19,63,-8.79,0.79,-8,102.9,112.2,94.4,0.309,0.179,0.517,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187
1,82,19780,3108,6795,82.86585366,0.457,586,7.146341463,1583,19.30487805,0.37,2522,30.75609756,5212,63.56097561,0.484,1345,16.40243902,1790,21.82926829,0.751,942,11.48780488,2621,31.96341463,3563,43.45121951,1806,553,6.743902439,510,6.219512195,1087,13.25609756,1530,8147,99.4,25.3,43,39,0.79,0.34,1.13,108.2,107.3,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195
